Subject,Block,CategoryNumber,ITI,Trial,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,Prime,cond_TrueFalse,TF,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi_cen,Fam_tipi,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
11,3,2,3000,1,2,1,2,1341,7,5,Peach,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,7,1.237250811,0.835899775,5,-0.047323148,2.181843588,-0.793221164,2.19,1.04215398,6.276,66,17,14,0.84,female
11,3,1,2500,2,1,1,1,3345,6.916666667,3.75862069,Eagle,Birds,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,6.916666667,1.175690826,-0.236069083,3.76,0.231731107,2.460897843,-0.042385864,2.95,0.1233303,5.852,66,17,14,0.84,female
11,3,3,3000,3,2,1,2,1353,6.916666667,6.413793103,Jacket,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,6.916666667,1.175690826,2.054832106,6.41,0.987526863,3.216693599,-0.882135871,2.1,0.032314746,5.81,66,17,14,0.84,female
11,3,1,3000,4,1,1,1,1371,6.25,3.620689655,Oven mitts,Kitchent Utensil,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,6.25,0.683210942,-0.357097825,3.62,0.294579731,2.523746467,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,1,2000,5,2,1,2,3051,4.833333333,3.482758621,Squirrel,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,4.833333333,-0.36330881,-0.478126567,3.48,0.123015782,2.3521825180000002,0.095925902,3.09,1.154839904,6.328,66,17,14,0.84,female
11,3,2,2000,7,1,1,1,1905,5.375,3,Goose,Birds,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,5.375,0.036831096,-0.893082254,3,0.105287015,2.334453751,0.105805314,3.1,0.628249917,6.085,66,17,14,0.84,female
11,3,2,1500,8,2,1,2,1041,5.75,3.413793103,Coconut,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,5.75,0.31385103,-0.538640938,3.41,0.213313033,2.442479769,-0.803100576,2.18,-0.622130422,5.508,66,17,14,0.84,female
11,3,4,2000,10,1,1,1,2026,3.166666667,2.931034483,Slingshot,Weapon,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,3.166666667,-1.594508517,-0.953596625,2.93,0.239180594,2.46834733,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,4,2000,11,2,1,2,1619,6.666666667,4.931034483,Taxi,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,6.666666667,0.99101087,0.775385404,4.93,0.845649704,3.074816441,0.056408255,3.05,1.154839904,6.328,66,17,14,0.84,female
11,3,2,1500,12,2,1,2,1059,6.875,5.137931034,Strawberry,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.875,1.144910833,0.956928518,5.14,0.06968634,2.298853076,-1.178518226,1.8,0.87745917,6.2,66,17,14,0.84,female
